S_Seker,MisparMb,Hodesh_Hakira,Shnat_Hakira,Quarter,Weight,Nefashot,NefeshStandartit,Mefarnesim,Nefashot0_4,Nefashot5_9,Nefashot10_14,Nefashot15_17,NefashotAd18,Nefashot18Up,Men18up,Women18up,Nationality,Yshuv,Nafa,Zurat_Y,Cluster,MadadPereferia,Tanur_Ba,Tanur_B,Tanur_A,Microwave,Refrigerator,Deep_Freezer,Dish_Washer,Washing_M,Dryer,V_Cleaner,Television,Computer,A_Conditioner,C_Heating,F_Heating,Water_Heating,Security_Room,Cable_Tv,Water_Purification_Device,Tablet,Gamer,Satellite_Dish,internet,Phones,Cell_Phones,Cars,Electric_Scooter,Electric_Bicycle,Baalut,Owned_Appartement_Not_For_Living,Value_D,Mocher_D,Sah_Hadrim,Hadrim,Rented_D,Add_Payers,Maskir,Mafteah,Decile,Total_Net,Net,i1Kaspit,iInKind,c3Kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,i141119,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Sex_RMB,MaamadRMB,Religion
2020,14459,3,2020,1,630.892,2,2.00,2,,,,,,2,1,1,3,0000,32,5,3,4,0,1,1,1,1,0,0,1,0,1,1,1,3,2,2,1,2,1,2,0,0,2,1,,2,1,0,0,1,0,1000000.0000,3,3,3,0,0,0,0,6,14690,11874,12881,2816,6645,12881,0,0,0,7893,0,0,0,0,0,7893,0,0,4988,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,326,264,417,9461,1000,356,2816,739,2332,0,311,150,1757,0,1,1,1,2
2020,14460,3,2020,1,571.734,7,4.75,3,1,2,,1,4,3,2,1,1,0000,32,5,3,4,1,0,0,0,2,0,0,1,1,0,3,1,5,2,2,1,1,1,1,3,1,2,1,1,2,2,0,0,1,0,1700000.0000,3,6,6,0,0,0,0,4,24940,20712,22563,4228,14332,21838,0,0,725,21838,0,725,0,0,0,7662,0,14176,0,0,0,725,0,0,0,0,0,0,0,0,0,0,1851,563,460,828,18560,646,40,4668,1256,50,447,307,658,10179,308,2,1,1,1
2020,14461,3,2020,1,610.438,3,2.65,1,1,,,,1,2,,2,1,0000,32,5,3,4,1,0,0,1,2,0,0,1,1,1,4,2,5,2,2,1,1,1,1,0,0,2,1,,2,2,0,0,1,0,3000000.0000,4,6,6,0,0,0,0,8,26746,22518,26250,4228,37524,19483,0,2855,3912,19483,0,3912,0,0,0,19483,0,0,0,2855,0,152,2594,1166,0,0,0,0,0,0,0,0,3732,2036,887,809,41752,3935,668,4411,1438,329,60,11204,5028,1429,13251,1,2,1,1
2020,14462,3,2020,1,680.170,2,2.00,0,,,,,,2,1,1,1,0000,32,5,3,4,0,1,1,1,3,0,0,1,0,0,1,1,3,2,2,1,2,2,2,0,0,1,2,1,1,1,0,0,1,0,3000000.0000,3,4,4,0,0,0,0,5,12221,8978,8978,3243,17222,0,0,4689,4290,0,0,4290,0,0,0,0,0,0,0,4689,0,0,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,20465,1234,427,4243,1657,86,0,935,10643,937,302,3,1,3,1
2020,14463,3,2020,1,837.306,3,2.65,1,,,,,,3,2,1,1,6900,42,4,4,5,0,1,1,1,1,0,1,1,1,1,2,1,3,2,2,1,1,1,1,1,1,2,1,1,2,1,0,1,1,1,2924935.0000,1,6,6,0,0,0,0,6,18273,12309,13884,5964,5393,10392,3492,0,0,10392,0,0,0,0,0,10392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,725,363,487,11357,1469,1339,5964,998,0,0,314,499,664,110,1,1,1,1
2020,14464,3,2020,1,932.041,1,1.25,0,,,,,,1,,1,1,6900,42,4,4,5,0,1,1,1,1,0,0,1,1,0,3,0,3,2,2,1,2,1,2,0,0,2,2,1,1,,0,0,1,0,1300000.0000,1,3,3,0,0,0,0,5,7382,3591,3591,3791,2821,0,0,1596,1995,0,0,1995,0,0,0,0,0,0,0,1596,0,0,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,6612,0,0,3791,933,0,1000,11,846,31,0,2,2,3,1
2020,14465,3,2020,1,593.613,2,2.00,2,,,,,,2,1,1,1,6900,42,4,4,5,0,1,1,1,1,0,0,1,0,0,0,1,3,2,2,1,2,2,1,0,0,2,1,1,2,1,0,0,1,0,1616515.0000,2,3,3,0,0,0,0,5,13049,9258,9710,3791,3249,9710,0,0,0,5221,0,0,0,0,0,5221,0,0,4489,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,150,302,7040,1102,628,3791,550,0,0,343,0,627,0,4,2,1,1
2020,14466,3,2020,1,346.530,2,2.00,1,,,,,,2,1,1,1,6900,42,4,4,5,1,0,0,1,1,0,1,1,1,2,3,1,1,2,2,1,1,1,2,1,0,2,1,1,2,1,0,0,1,1,2924935.0000,2,5,5,0,0,0,0,9,24712,18748,19752,5964,6783,4988,4290,10475,0,0,0,0,0,0,0,0,0,0,4988,10475,0,0,0,0,0,0,0,0,0,0,0,0,1004,707,143,155,12747,1710,1200,6072,1484,0,0,1012,220,627,422,1,1,2,1
2020,14467,3,2020,1,643.375,1,1.25,0,,,,,,1,1,,1,6900,42,4,4,5,0,1,1,1,1,0,1,1,0,1,2,1,1,2,2,1,1,1,1,0,0,2,1,1,1,1,0,0,1,0,2100000.0000,3,4,4,0,0,0,0,9,13983,9278,9278,4705,13108,0,0,6983,2294,0,0,2294,0,0,0,0,0,0,0,6983,0,0,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,17813,151,1053,4838,2443,0,500,5873,1340,1077,539,1,1,3,1
2020,14468,3,2020,1,525.713,3,2.65,2,,1,,1,2,1,,1,1,6900,42,4,4,5,0,1,1,1,1,0,1,1,0,1,0,1,2,2,2,1,2,2,1,1,1,2,1,,2,1,0,0,1,0,2924935.0000,3,6,6,0,0,0,0,6,18781,12817,13852,5964,13849,10516,0,0,3336,540,0,343,0,2993,0,0,0,540,9976,0,0,343,0,0,0,0,0,0,0,0,0,0,1035,0,656,379,19813,3641,1817,6047,1458,416,1299,317,2115,2271,430,1,2,2,1
2020,14469,3,2020,1,428.669,1,1.25,0,,,,,,1,,1,1,0000,31,6,4,3,0,1,1,1,1,0,1,1,0,0,2,1,3,2,2,1,2,1,1,0,0,2,1,1,1,1,0,0,1,0,1300000.0000,3,3.5,3.5,0,0,0,0,7,10349,7462,7462,2887,6671,0,0,5237,2225,0,0,2225,0,0,0,0,0,0,0,5237,0,0,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,9558,1141,230,3044,1593,413,520,776,615,1170,56,1,2,3,1
2020,14470,3,2020,1,369.017,2,2.00,0,,,,,,2,1,1,1,0000,31,6,4,3,0,1,1,1,1,0,0,1,0,0,2,1,2,2,2,1,1,1,2,0,0,2,1,1,2,1,0,0,,1,,,4,4,1,0,2,2,6,14964,14964,14964,0,18947,0,2993,5986,5986,0,0,3990,1995,0,0,0,0,0,0,5986,0,0,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,18947,1897,391,3998,554,69,0,8236,2309,987,505,1,1,3,1
2020,14471,3,2020,1,313.562,4,3.20,3,,,,2,2,2,1,1,1,0000,31,6,4,3,0,1,1,1,1,0,1,1,1,1,7,4,7,2,2,1,1,1,1,2,2,2,1,,2,1,0,0,1,0,1600000.0000,3,6,6,0,0,0,0,7,24760,20833,25525,3927,13400,22588,0,0,2937,22588,0,2937,0,0,0,20884,0,1704,0,0,0,343,0,2594,0,0,0,0,0,0,0,0,4692,2646,1004,1041,17327,2801,235,3927,2757,1386,0,475,3704,1642,400,1,2,1,1
2020,14472,3,2020,1,534.979,2,2.00,2,,,,,,2,1,1,1,0000,31,6,4,3,1,0,0,1,1,1,0,1,0,0,2,0,2,2,2,1,2,1,2,0,0,2,1,,2,,0,0,,0,,,3,3,1,0,2,2,6,13963,13963,14988,0,9466,14988,0,0,0,14988,0,0,0,0,0,8300,6688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,387,169,469,9466,1585,670,2389,796,2614,220,120,223,102,747,2,1,1,1
2020,14473,3,2020,1,533.085,2,2.00,1,,,1,,1,1,,1,1,0000,31,6,4,3,1,0,0,1,1,0,0,1,0,0,2,1,2,2,2,1,2,1,1,0,0,2,1,,2,1,0,0,,0,,,3.5,3.5,1,0,2,2,3,9315,9315,10361,0,6323,10209,0,0,152,10209,0,152,0,0,0,10209,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1045,381,285,379,6323,508,20,2349,680,112,308,742,647,830,127,2,2,1,1
2020,14474,3,2020,1,1191.779,1,1.25,1,,,,,,1,,1,2,0000,25,6,3,3,0,1,1,1,1,0,0,1,0,0,0,0,1,2,2,2,1,2,2,0,0,2,2,,1,,0,0,,0,,,3,3,1,0,2,2,3,5105,5105,6196,0,4702,5951,0,0,246,5951,0,246,0,0,0,5951,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,1091,548,225,319,4702,146,0,2499,656,666,0,35,0,325,376,1,2,1,3
2020,14475,3,2020,1,701.006,4,3.20,2,2,,,,2,2,1,1,2,0000,25,6,3,3,0,1,1,1,1,0,0,1,1,1,1,0,2,2,2,2,1,2,1,1,0,1,1,,2,1,0,0,1,1,850000.0000,3,3,3,0,0,0,0,5,18226,16168,18196,2058,34563,17187,0,0,1009,17187,0,1009,0,0,0,14843,2344,0,0,0,0,343,0,0,0,0,0,0,666,0,0,0,2028,576,653,799,36621,1944,489,3602,25465,295,300,686,2119,1089,632,2,1,1,2
2020,14476,3,2020,1,761.449,1,1.25,0,,,,,,1,,1,1,0000,25,6,3,3,0,1,0,1,1,0,0,0,0,0,1,0,0,2,2,1,2,1,2,0,0,2,2,1,1,,0,0,,0,,,1,1,1,0,3,2,2,4189,4189,4189,0,2484,0,0,0,4189,0,0,3189,1000,0,0,0,0,0,0,0,0,0,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,2484,361,51,800,182,17,0,672,322,80,0,1,2,3,1
2020,14477,3,2020,1,873.739,2,2.00,1,,,,,,2,1,1,2,0000,25,6,3,3,0,1,1,1,2,1,0,1,0,1,2,2,3,2,2,1,1,1,2,0,0,1,1,,2,1,0,0,1,0,1200000.0000,3,4,3,0,0,0,0,6,13380,11027,13338,2353,10525,13338,0,0,0,13338,0,0,0,0,0,13338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,1295,490,526,12583,2490,490,2058,1045,409,60,2868,816,1427,921,1,1,1,2
2020,14478,3,2020,1,635.820,4,3.20,2,,,,2,2,2,1,1,1,0000,25,6,3,3,0,1,1,1,1,0,0,1,1,1,4,1,1,2,2,2,1,1,1,0,0,2,1,1,2,1,0,0,1,0,1738525.0000,2,5,5,0,0,0,0,5,19294,15798,17222,3496,13116,16218,0,0,1004,16218,0,343,661,0,0,8913,7304,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,1423,571,292,561,16612,3128,962,3686,1158,408,759,1386,2272,1032,1820,2,1,1,1
2020,14479,3,2020,1,609.252,7,4.75,2,2,,3,,5,2,1,1,1,0000,25,6,3,3,0,1,1,1,1,1,0,1,0,0,2,1,1,2,2,1,2,1,1,0,0,2,1,1,2,1,0,0,1,0,900000.0000,77,4,4,0,0,0,0,2,16049,13415,14384,2634,9349,11181,0,0,3202,11181,0,2870,0,332,0,11119,62,0,0,0,0,877,0,0,0,0,1993,0,0,0,0,0,968,0,376,593,11983,2800,97,2734,1449,165,10,1020,1141,2263,303,5,1,1,1
2020,14480,3,2020,1,558.397,3,2.65,1,1,,,,1,2,1,1,1,0000,22,6,2,2,0,1,1,1,1,1,0,1,1,1,2,3,3,2,2,1,2,2,2,0,0,2,1,,2,1,0,0,1,0,700000.0000,3,4,4,0,0,0,0,8,27667,24810,25714,2857,4954,11931,0,0,13782,11931,0,13413,369,0,0,11931,0,0,0,0,0,152,0,0,0,0,0,0,0,0,13262,0,903,0,425,479,7811,1909,94,2937,699,421,400,660,126,565,0,2,1,1,1
2020,14481,3,2020,1,625.806,3,2.65,3,,,,,,3,2,1,1,0000,22,6,2,2,0,1,1,1,2,1,1,1,1,1,3,1,5,2,2,1,2,2,2,1,0,2,1,1,2,2,0,0,1,0,1500000.0000,3,5,5,0,0,0,0,8,26878,23804,26023,3074,4596,26023,0,0,0,26023,0,0,0,0,0,1213,0,24810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2220,405,854,961,7670,721,191,3074,751,0,100,610,125,2098,0,2,1,1,1
2020,14482,3,2020,1,583.440,2,2.00,0,,,,,,2,1,1,1,0000,22,6,2,2,0,1,1,1,2,1,0,1,0,0,2,0,3,2,2,1,2,1,1,0,0,2,2,,2,,0,0,1,0,1100000.0000,1,5,5,0,0,0,0,5,11454,8380,8380,3074,6531,0,0,3990,4389,0,0,4389,0,0,0,0,0,0,0,3990,0,0,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,9605,1691,612,3074,818,147,180,2719,239,90,35,3,2,3,1
2020,14483,3,2020,1,1144.474,5,3.75,1,,1,,,1,4,3,1,1,0000,22,6,2,2,0,1,1,1,1,1,0,1,1,0,0,1,6,2,2,1,2,2,2,0,0,2,1,,2,1,0,0,1,0,850000.0000,3,5,5,0,0,0,0,3,16256,12797,14068,3459,7714,13917,0,0,152,13917,0,152,0,0,0,13917,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1271,61,553,657,11172,1592,113,3074,1106,0,0,1492,2868,628,300,4,1,1,1
2020,14484,3,2020,1,992.520,1,1.25,0,,,,,,1,1,,1,0000,22,6,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,2,2,1,2,2,2,0,0,2,2,,1,,0,0,1,0,650000.0000,3,3,3,0,0,0,0,3,5670,3691,3691,1979,1022,0,0,0,3691,0,0,3691,0,0,0,0,0,0,0,0,0,0,0,0,0,3691,0,0,0,0,0,0,0,0,0,0,3001,671,13,1979,167,0,0,0,0,50,121,3,1,3,1
2020,14485,3,2020,1,678.880,2,2.00,1,,,,,,2,1,1,1,0000,22,6,2,2,0,1,0,0,2,1,0,1,0,0,2,0,4,2,2,1,1,1,2,0,0,2,2,,2,1,0,0,1,0,1200000.0000,3,4,4,0,0,0,0,6,14802,11945,11945,2857,7234,7954,0,0,3990,7954,0,3990,0,0,0,7954,0,0,0,0,0,0,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,10091,2365,0,2857,1383,0,0,817,239,2170,260,2,1,1,1
2020,14486,3,2020,1,739.014,2,2.00,1,,,,,,2,1,1,1,0000,22,6,2,2,1,0,0,1,1,0,0,1,0,1,0,1,3,2,2,1,2,2,2,0,0,2,1,,2,,0,0,1,0,800000.0000,3,3,3,0,0,0,0,3,7751,5772,6084,1979,2611,4289,0,0,1796,1880,0,0,1796,0,0,1880,0,0,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,45,267,4590,299,49,1979,1451,0,0,128,50,485,150,4,2,1,1
2020,14487,3,2020,1,808.926,1,1.25,0,,,,,,1,,1,1,0000,22,6,2,2,1,0,0,1,1,1,0,1,0,0,2,0,3,2,2,1,2,1,2,0,0,2,2,1,1,,0,0,1,0,700000.0000,1,3,3,0,0,0,0,4,6269,4290,4290,1979,3195,0,0,1496,2793,0,0,2793,0,0,0,0,0,0,0,1496,0,0,1397,1397,0,0,0,0,0,0,0,0,0,0,0,0,5174,1858,142,1979,565,0,0,291,200,140,0,2,2,3,1
2020,14488,3,2020,1,869.746,8,5.20,0,3,3,,,6,2,1,1,1,0000,22,6,2,2,1,0,0,0,1,0,0,1,1,0,0,0,3,2,2,1,1,2,2,0,0,2,2,,2,,0,0,1,0,950000.0000,2,4,4,0,0,0,0,1,10242,7385,7513,2857,7175,0,0,0,7513,0,0,3523,3990,0,0,0,0,0,0,0,0,1029,0,0,0,2494,0,0,0,0,0,0,128,0,24,104,10032,3250,324,2857,844,166,150,0,1047,1044,349,4,1,3,1
2020,14489,3,2020,1,812.802,3,2.65,1,1,,,,1,2,1,1,1,0000,22,6,2,2,1,0,0,1,1,0,0,1,1,0,0,0,4,2,2,1,1,2,2,0,0,2,2,1,2,,0,0,1,0,900000.0000,2,4,4,0,0,0,0,2,9715,6858,7170,2857,3949,3527,0,0,3643,3527,0,1648,1995,0,0,3527,0,0,0,0,0,152,0,0,0,0,0,1496,0,0,0,0,312,0,45,267,6806,982,592,2857,995,33,70,81,638,329,229,4,2,1,1
2020,14490,3,2020,1,841.533,3,2.65,2,,,,,,3,1,2,1,7900,42,13,4,5,0,1,1,1,2,0,1,1,0,1,2,3,4,2,2,1,2,1,1,0,0,2,1,1,2,2,0,0,1,1,2434969.0000,3,4.5,4.5,0,0,0,0,9,34896,29438,32273,5458,16926,19404,2893,7781,2195,19404,0,2195,0,0,0,4972,14432,0,0,7781,0,0,1197,998,0,0,0,0,0,0,0,0,2834,1507,585,742,22384,1834,1005,5683,2817,149,0,2218,2905,4980,794,1,2,1,1
2020,14491,3,2020,1,588.672,5,3.75,2,,1,1,1,3,2,1,1,1,7900,42,13,4,5,0,1,1,0,2,0,1,1,1,2,2,5,1,2,2,2,1,2,1,1,1,2,1,,2,2,0,1,1,1,2700000.0000,3,5,5,0,0,0,0,8,38108,29765,44025,8343,33266,43491,0,0,534,42162,0,534,0,0,0,40444,1718,0,1329,0,0,534,0,0,0,0,0,0,0,0,0,0,14260,9918,2353,1988,41609,7007,670,6698,1975,114,700,1653,5998,14462,2332,3,1,1,1
2020,14492,3,2020,1,494.447,2,2.00,2,,,,,,2,1,1,1,7900,42,13,4,5,0,1,1,0,1,0,0,1,0,1,2,1,4,2,2,1,1,1,2,0,0,2,1,1,2,2,0,0,1,0,2434969.0000,4,6,6,0,0,0,0,10,28645,22033,24088,6612,11759,19399,0,0,4689,16573,0,4689,0,0,0,16573,0,0,2826,0,0,0,4689,0,0,0,0,0,0,0,0,0,2055,2055,0,0,18371,3201,1119,5624,950,600,0,2974,126,3759,20,3,1,1,1
2020,14493,3,2020,1,1340.649,1,1.25,1,,,,,,1,,1,1,0000,24,5,3,2,1,0,0,1,1,0,0,1,0,0,1,0,1,2,2,2,2,1,2,0,0,2,2,,1,,0,0,,0,,,3,3,1,0,2,2,1,2089,2089,2273,0,3168,278,0,0,1995,278,0,1995,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,185,0,21,164,3168,116,58,1492,158,0,120,0,249,890,83,1,2,1,1
2020,14494,3,2020,1,774.739,1,1.25,0,,,,,,1,,1,1,0000,24,5,3,2,1,0,0,1,1,0,0,1,0,1,1,0,1,2,2,1,2,1,2,0,0,2,2,,1,,0,1,,0,,,3,3,1,0,2,2,1,2986,2986,3162,0,3115,0,0,3162,0,0,0,0,0,0,0,0,0,0,0,3162,0,0,0,0,0,0,0,0,0,0,0,0,176,0,72,104,3115,260,0,1394,853,43,200,1,325,39,0,2,2,3,1
2020,14495,3,2020,1,899.098,5,3.75,1,1,2,,,3,2,1,1,1,0000,24,5,3,2,1,0,0,1,1,0,0,1,1,1,1,0,3,2,2,1,2,1,1,0,0,2,2,,2,1,0,0,,0,,,4,4,1,0,2,2,2,11607,11607,12459,0,5769,11925,0,0,534,11925,0,534,0,0,0,11925,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,852,0,394,458,5769,78,0,2190,795,140,0,124,793,1396,252,3,1,1,1
2020,14496,3,2020,1,506.486,3,2.65,2,,,,,,3,1,2,3,0000,24,5,3,2,0,1,1,1,1,0,1,1,1,1,0,2,4,2,2,1,2,2,1,0,0,2,1,,2,1,0,0,1,1,850000.0000,3,4,3,0,0,0,0,5,16822,14332,15117,2490,4840,13322,1796,0,0,13322,0,0,0,0,0,8167,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,238,547,7330,819,119,2500,1009,40,390,522,193,1077,661,1,1,1,5
2020,14497,3,2020,1,519.368,2,2.00,0,,,,,,2,1,1,1,0000,24,5,3,2,0,1,1,1,2,0,0,1,1,1,3,0,2,2,2,1,2,2,2,0,0,1,1,,,,0,0,1,0,650000.0000,2,5,4,0,0,0,0,5,12052,9098,9098,2954,2651,0,0,0,9098,0,0,4070,5028,0,0,0,0,0,0,0,0,0,4070,0,0,0,0,0,0,0,0,0,0,0,0,0,5605,1067,148,2954,670,332,0,2,0,0,432,1,1,3,1
2020,14498,3,2020,1,411.098,3,2.65,3,,,,,,3,2,1,1,0000,32,6,4,3,1,0,0,1,1,0,1,1,1,1,2,3,4,2,1,1,1,1,1,0,0,2,1,1,2,2,0,0,1,0,2738733.0000,2,5,4,0,0,0,0,10,50422,46142,67706,4280,51529,55735,11971,0,0,50747,0,0,0,0,0,1213,0,49534,4988,0,0,0,0,0,0,0,0,0,0,0,0,0,21564,16534,2801,2229,55809,6454,1614,4576,11397,2489,5071,832,3119,18455,1802,2,1,1,1
2020,14499,3,2020,1,865.146,2,2.00,1,,,,,,2,1,1,1,0000,32,6,4,3,1,0,0,0,2,0,1,1,0,1,1,1,5,2,2,1,2,1,2,2,0,2,1,1,2,1,0,0,1,0,2738733.0000,5,5,5,0,0,0,0,10,27476,19484,26277,7992,15635,24382,0,0,1895,24382,0,1895,0,0,0,24382,0,0,0,0,0,0,1895,0,0,0,0,0,0,0,0,0,6793,4513,1228,1052,23627,3538,631,6395,1100,516,0,695,316,10157,279,1,1,1,1
